1;[intro]
9;At the ball of illusions, I dance without rest
11;On the notes of lies, on the steps of the cowardly
13;I get drunk on dreams, I lose myself in illusion
15;But deep down, I feel a profound confusion
17;The ball of illusions, spins endlessly
19;Masks hide, concealing their true intentions
21;I twirl, I whirl, carried by the melody
23;But in the midst of this dance, I feel so wounded
25;[ … ]
29;At the ball of illusions, I meet familiar faces
31;Seductive glances, enchanting smiles
33;But behind these masks, reality hides
35;Broken hearts, scarred souls, betrayed lives
37;The ball of illusions, spins endlessly
39;Masks hide, concealing their true intentions
41;I twirl, I whirl, carried by the melody
43;But in the midst of this dance, I feel so wounded
45;[ solo ]
53;The ball of illusions, spins endlessly
55;Masks hide, concealing their true intentions
57;I twirl, I whirl, carried by the melody
59;But in the midst of this dance, I feel so wounded
61;[outro]
63;
