1;[intro]
9;My universe is filled with solitude
11;I prefer to lose myself in empty daydreams
13;A distant look at trivial things
15;In this distance, I feel useless
17;I sing sad songs with pain
19;A melancholy that invades my heart
21;My mind gets lost in dark thoughts
23;I stay away from subjects that bother and clutter
25;[ … ]
29;I do not censor myself, I cannot lie
31;It's just that I prefer to avoid controversy
33;My interest lies in fleeting emotions
35;From forced smiles to exquisite tears
37;I sing sad songs with pain
39;A melancholy that invades my heart
41;My mind gets lost in dark thoughts
43;I stay away from subjects that bother and clutter
45;[ solo ]
53;I sing sad songs with pain
55;A melancholy that invades my heart
57;My mind gets lost in dark thoughts
59;I stay away from subjects that bother and clutter
61;[outro]
63;
