1;[intro]
9;I remember the days before
11;When we danced until morning
13;Laughter echoed in every corner
15;But now, everything seems dim
17;The sleeping city, the streets are empty
19;Friends are gone, I feel alone
21;The nights are dull, the party is over
23;I'm bored in this world that has no echo
25;[ … ]
29;I want to find those moments again
31;When we felt so alive
33;The streets were our playground
35;But now, everything feels so hollow
37;The sleeping city, the streets are empty
39;Friends are gone, I feel alone
41;The nights are dull, the party is over
43;I'm bored in this world that has no echo
45;[ solo ]
53;The sleeping city, the streets are empty
55;Friends are gone, I feel alone
57;The nights are dull, the party is over
59;I'm bored in this world that has no echo
61;[outro]
63;
