1;[intro]
9;Delicious meals,
11;But an empty wallet,
13;I am in trouble,
15;A life too fast.
17;Always eating,
19;In restaurants,
21;My money flies away,
23;Growing sadness.
25;[ … ]
29;Exquisite flavors,
31;But the debts accumulate,
33;I am in the ravines,
35;A dream that slips away.
37;Always eating,
39;In restaurants,
41;My money flies away,
43;Growing sadness.
45;[ solo ]
53;Again and again,
55;In restaurants,
57;Loneliness grows,
59;A too-present past.
61;[outro]
63;
