1;[intro]
9;Chaos reigns,
11;but there is beauty
13;In the diversity
15;of scarred souls
17;Brussels, I love you
19;despite the disorder
21;In your contradictions,
23;a love without remorse
25;[ … ]
29;In the bustling streets,
31;everything intertwines
33;The sad and joyful life
35;in this citadel
37;Brussels, I love you
39;despite the disorder
41;In your contradictions,
43;a love without remorse
45;[ solo ]
53;Brussels,
55;my deep pain
57;A chaos that makes
59;the world vibrate
61;[outro]
63;
