1;[intro]
9;Laughter and faces
11;Have given way to a wild silence
13;The bars and cafes are closed
15;I feel alone, abandoned
17;In this sleeping city,
19;The streets are empty, everything is over,
21;People my age have all disappeared,
23;I'm bored, don't know what to do with my nights.
25;[ … ]
29;The memories of our youth,
31;Are now covered in sadness,
33;The parties and lively evenings,
35;Have left an inanimate void.
37;In this sleeping city,
39;The streets are empty, everything is over,
41;People my age have all disappeared,
43;I'm bored, don't know what to do with my nights.
45;[ solo ]
53;In this sleeping city
55;I hope one day it will wake up
57;That people will return to continue savoring it
59;And that my sadness will disappear.
61;[outro]
63;
