1;[intro]
9;I was there, all quiet, in my house,
11;When I discovered Philippe Katerine, it's not a gift.
13;His songs make me laugh, it's too funny,
15;But listening to them all the time makes me a little wary.
17;I love Philippe Katerine, he's my icon,
19;But listening on repeat makes me crave a bit.
21;So I let his CD play,
23;And I take breaks to stay balanced.
25;[ … ]
29;Philippe sings about Barbie dolls,
31;And about little cats that pee.
33;I love his crazy humor, it's clear,
35;But sometimes, I need other music to breathe.
37;I love Philippe Katerine, he's my icon,
39;But listening on repeat makes me crave a bit.
41;So I let his CD play,
43;And I take breaks to stay balanced.
45;[ solo ]
53;Philippe Katerine, you're unique in your style,
55;Your songs are like a breath of fresh air in winter.
57;But don't worry, I'll stay your fan,
59;Even if sometimes, I take a little break, simply.
61;[outro]
63;
