1;[intro]
9;Raise the curtain, she is here,
11;Dopamine puts on a show, she acts crazy,
13;She prances, she takes the big leap,
15;In our heads, she sets the fire, without a word.
17;Dopamine, little machine,
19;Who dances in our veins, oh what a tease!
21;We seek her, we hunt her, she electrifies us,
23;The dance of dopamine makes life more cunning.
25;[ … ]
29;Hooked to our screens, to our smartphones,
31;We seek dopamine like children,
33;In the like, the share, we get intoxicated,
35;But is that really what will revive us?
37;Dopamine, little machine,
39;Who dances in our veins, oh what a tease!
41;We seek her, we hunt her, she electrifies us,
43;The dance of dopamine makes life more cunning.
45;[ solo ]
53;Dopamine, our addiction,
55;She makes us addicted, without any restriction,
57;We chase after her, we always want more,
59;The dance of dopamine, it's our lot of suspended vices.
61;[outro]
63;
