1;[intro]
9;Productivity's not my creed,
11;I prefer to take my time, indeed.
13;Working non-stop, I leave that be,
15;To savor the moment, just being free.
17;I’m lazy, but I’m content,
19;My tranquility’s not a lament.
21;In idleness, I find the grace,
23;In leisure, I embrace my space.
25;[ … ]
29;Ambitions fierce and consuming,
31;Leave me weary, not amusing.
33;I prefer a life more serene,
35;Where happiness isn't a grand scene.
37;I’m lazy, but I’m content,
39;My tranquility’s not a lament.
41;In idleness, I find the grace,
43;In leisure, I embrace my space.
45;[ solo ]
53;Lazy yet in good health,
55;I choose to live my way, myself.
57;In a world that's rushed and fast,
59;I opt for a life that's meant to last.
61;[outro]
63;
