1;[intro]
9;In just a few minutes, it takes shape,
11;Two little elements, and it's great.
13;The music grows, starts to expand,
15;In three, four days, I’m feeling grand.
17;Let me place my hands on the keys,
19;Press the notes and create melodies,
21;When I begin, I make some space,
23;And my joy blooms, it shows on my face.
25;[ … ]
29;The phrases are short, the energy’s high,
31;The song comes alive, emotions fly.
33;With a catchy title, it shines so bright,
35;Two lively verses, it’s pure delight.
37;Let me place my hands on the keys,
39;Press the notes and create melodies,
41;When I begin, I make some space,
43;And my joy blooms, it shows on my face.
45;[ solo ]
53;Let me place my hands on the keys,
55;Press the notes and create melodies,
57;When I begin, I make some space,
59;And my joy blooms, it shows on my face.
61;[outro]
63;
