1;[intro]
9;I have dreams in my eyes, it's my credo
11;No matter the obstacles, I stay high
13;Life is too short to let go
15;So I laugh, I sing and I keep moving forward
17;I'm not crazy, I believe in it, yeah yeah!
19;No use crying over a misstep
21;I take life by the horns, always up high
23;I'm not crazy, I believe in it, yeah yeah!
25;[ … ]
29;"Sometimes people tell me ""You dream in color"""
31;But I know that life is better in color
33;So I paint my canvas with bursts of happiness
35;And I don't care about those who judge and criticize me
37;I'm not crazy, I believe in it, yeah yeah!
39;No use crying over a misstep
41;I take life by the horns, always up high
43;I'm not crazy, I believe in it, yeah yeah!
45;[ solo ]
53;I'm not crazy, I believe in it, yeah yeah!
55;No use crying over a misstep
57;I take life by the horns, always up high
59;I'm not crazy, I believe in it, yeah yeah!
61;[outro]
63;
