1;[intro]
9;From Geneva to Zurich, I charm the crowd,
11;With my golden voice, I make the soul proud.
13;The Alps set the stage for my symphony,
15;In Switzerland, my talent blooms with glee.
17;In Switzerland, art is my delight,
19;I sing with grace and pure light,
21;On stage, I shine so bright,
23;Swiss artist, it’s my bold flight.
25;[ … ]
29;Notes dance to the beat of my creativity,
31;Artist in Switzerland, proud of the admiration I see.
33;The green valleys inspire my creation,
35;In this land, art is a beautiful tradition.
37;In Switzerland, art is my delight,
39;I sing with grace and pure light,
41;On stage, I shine so bright,
43;Swiss artist, it’s my bold flight.
45;[ solo ]
53;In Switzerland, art is my delight,
55;I sing with grace and pure light,
57;On stage, I shine so bright,
59;Swiss artist, it’s my bold flight.
61;[outro]
63;
