Pop addiction;
1;[intro]
9;When I’m on stage, I’m full of energy,
11;I’m the king of the party, the king of the spree.
13;My dance moves are legendary, I light up the floor,
15;I’m the pop maestro, the artistic encore.
17;I want to do pop, pop everywhere I go,
19;Sing, dance, make the world glow.
21;I want success, glory, and fans who cheer,
23;I want to make a splash, I want a career.
25;[ … ]
29;On social media, I’m number one,
31;My selfies make the buzz, my life’s a marathon run.
33;I’m the champion of hashtags, the king of the like,
35;I’m the dream maker, the critics’ delight.
37;I want to do pop, pop everywhere I go,
39;Sing, dance, make the world glow.
41;I want success, glory, and fans who cheer,
43;I want to make a splash, I want a career.
45;[solo]
53;I want to do pop, pop everywhere I go,
55;Sing, dance, make the world glow.
57;I want success, glory, and fans who cheer,
59;I want to make a splash, I want a career.
61;[outro]
63;
