1;[intro]
9;I don't have the voice for the violin,
11;Piano keys aplenty, that’s not my spin,
13;Trumpets and clarinets, they play so pure,
15;But their sounds, they’re just too demure.
17;But me, me, me,
19;With my voice, voice, voice,
21;I’ll make you dance,
23;Without any instruments, just chance.
25;[ … ]
29;Guitar and drums, they're not my scene,
31;They get on my nerves, and that’s keen,
33;The drums leave me in a daze,
35;And the harp is too complex to praise.
37;But me, me, me,
39;With my voice, voice, voice,
41;I’ll make you dance,
43;Without any instruments, just chance.
45;[ solo ]
53;So here’s my song without a single instrument,
55;To brighten up your moments,
57;Unpretentious yet full of cheer,
59;To make you laugh and dance, without fear.
61;[outro]
63;
