1;[intro]
9;In Geneva, I shine on stage,
11;Between the Foundation and Lake Geneva's rage,
13;The Alps are my inspiration,
15;A Swiss artist, with Switzerland in my veins.
17;Blowing eardrums, I’m on a mission,
19;The Swiss artist, a true attraction,
21;With my yodel and my flair so bright,
23;Making people laugh and dance, day and night.
25;[ … ]
29;In Zurich, I make the crowd feel the beat,
31;With my flow, it’s an ultimate feat,
33;From Kunsthaus to the Opera, I put on a show,
35;The Swiss artist, my ego aglow.
37;Blowing eardrums, I’m on a mission,
39;The Swiss artist, a true attraction,
41;With my yodel and my flair so bright,
43;Making people laugh and dance, day and night.
45;[ solo ]
53;Blowing eardrums, I’m on a mission,
55;The Swiss artist, a true attraction,
57;With my yodel and my flair so bright,
59;Making people laugh and dance, day and night.
61;[outro]
63;
