1;[intro]
9;Bad taste is what captivates us,
11;Beyond norms and predetermined lines,
13;It’s so tied to our times and to fashion’s fuss,
15;That the grotesque can become trendy, without signs.
17;Let’s be charmed by this ugliness,
19;For in extravagance, there’s happiness,
21;Bad taste is what sets us apart,
23;For the unusual is what surpasses the art.
25;[ … ]
29;Let’s dare bold colors, shocking patterns too,
31;In bad taste, let’s find our delight anew,
33;Each creation, though offbeat and strange,
35;Holds within an unexpected beauty, ready to change.
37;Let’s be charmed by this ugliness,
39;For in extravagance, there’s happiness,
41;Bad taste is what sets us apart,
43;For the unusual is what surpasses the art.
45;[ solo ]
53;Let’s be charmed by this ugliness,
55;For in extravagance, there’s happiness,
57;Bad taste is what sets us apart,
59;For the unusual is what surpasses the art.
61;[outro]
63;
