1;[intro]
9;I step onto the stage, a character unfolds,
11;A blend of ego and truth, a story told.
13;I use my image to ease the connection,
15;Between my audience and me, it's a deep affection.
17;It’s the theater of me, a life’s grand display,
19;Where I play my role with boldness and sway.
21;Between shadow and light, I find my balance,
23;The show unfolds, with the audience in trance.
25;[ … ]
29;In every project, I set the scene with delight,
31;Creating living tableaux, stories in sight.
33;But beyond the ego, there’s a unique rapport,
35;Between the audience and me, a magic we adore.
37;It’s the theater of me, a life’s grand display,
39;Where I play my role with boldness and sway.
41;Between shadow and light, I find my balance,
43;The show unfolds, with the audience in trance.
45;[ solo ]
53;It’s the theater of me, a life’s grand display,
55;Where I play my role with boldness and sway.
57;Between shadow and light, I find my balance,
59;The show unfolds, with the audience in trance.
61;[outro]
63;
