Ce qui compte, c'est de rire;
1;[intro]
9;In life, don't sweat the small stuff,
11;Even if everything goes wrong, it's not that rough,
13;We can fail, we can miss the mark,
15;But what matters is laughing until we spark!
17;It's okay if it's a flop,
19;We have fun, we make bubbles pop,
21;In this crazy world we see,
23;We dance and just let it be!
25;[ … ]
29;All these little troubles, it's not the end,
31;We won't get worked up over a little bend,
33;Keep smiling, stay in cheer,
35;And let’s just laugh, it’s much clearer!
37;It's okay if it's a flop,
39;The key is to feel on top,
41;Tonight we party, let’s cheer,
43;And what counts is laughter, my dear!
45;[ solo ]
53;It's okay if it's a flop,
55;We have fun, we make bubbles pop,
57;In this crazy world we see,
59;We dance and just let it be!
61;[outro]
63;
