1;[intro]
9;I move things around, I’m in constant need,
11;An incessant urge that surpasses me.
13;The present moment, I want to embrace,
15;In this new project, I’m taking my place.
17;Changing things is my reality,
19;I shift everything, it's my necessity.
21;Today, I feel the change,
23;I’m finally stepping up, no longer estranged.
25;[ … ]
29;A title that shines, a chorus that resonates,
31;Short verses to better captivate.
33;Words take flight, the melody leads,
35;In this new project, I’m fulfilling my needs.
37;Changing things is my reality,
39;I shift everything, it's my necessity.
41;Today, I feel the change,
43;I’m finally stepping up, no longer estranged.
45;[ solo ]
53;Changing things is my freedom,
55;I carve my path, without hesitation.
57;Today, nothing can hold me back,
59;In this new project, I’ll rise from the lack.
61;[outro]
63;
