1;[intro]
9;Red carpet, flashes, and success,
11;But would all this truly bring me happiness?
13;VIP parties, money, and luxury,
15;Could I lose myself and forget my sincerity?
17;Fame, sudden change,
19;But is life worth all this pain?
21;I don't want to forget where I come from,
23;My friends, my family, I hold them dear.
25;[ … ]
29;The paparazzi, always on my trail,
31;But what would I lose in all this?
33;Perhaps the authenticity of my life,
35;To love and be loved, that's what feeds my soul.
37;Fame, sudden change,
39;But is life worth all this pain?
41;I don't want to forget where I come from,
43;My friends, my family, I hold them dear.
45;[ solo ]
53;Fame, sudden change,
55;But is life worth all this pain?
57;I don't want to forget where I come from,
59;My friends, my family, I hold them dear.
61;[outro]
63;
