1;[intro]
9;I don’t like things when they're perfectly done,
11;Visible seams make me shiver, not fun.
13;Handcrafted’s my creed, my true devotion,
15;DIY till the end, that's my notion.
17;We tinker, we assemble, we create with pride,
19;In our creations, our hearts reside.
21;The little flaws, that’s what makes them shine,
23;It’s what sets us apart, our unique sign.
25;[ … ]
29;No need to be perfect to be adored,
31;In our imperfections, true love is stored.
33;We can tinker and tweak, doing what we can,
35;But always aiming to be the best we can.
37;We tinker, we assemble, we create with pride,
39;In our creations, our hearts reside.
41;The little flaws, that’s what makes them shine,
43;It’s what sets us apart, our unique sign.
45;[ solo ]
53;We tinker, we assemble, we create with pride,
55;In our creations, our hearts reside.
57;The little flaws, that’s what makes them shine,
59;It’s what sets us apart, our unique sign.
61;[outro]
63;
