1;[intro]
9;I’ve got a talent, I’m a rockstar,
11;But when I sing, it’s a nightmare by far.
13;My audience covers their ears,
15;And here I am, arms in the air, full of cheers.
17;I sing, I sing so off-key,
19;No one gets it, it's pure chaos, you see.
21;But it doesn’t matter, I’m having fun,
23;'Cause I’m the queen of off-key, everyone!
25;[ … ]
29;I’ve got gold records, thousands of fans,
31;But when I open my mouth, it’s clear, it’s not grand.
33;My agent begs me to stop the show,
35;But I keep on going, embracing the flow.
37;I sing, I sing so off-key,
39;No one gets it, it’s pure chaos, you see.
41;But it doesn’t matter, I’m having fun,
43;'Cause I’m the queen of off-key, everyone!
45;[ solo ]
53;I’m unique, I’m a diva,
55;My style is false notes, that’s my schema.
57;While the world demands perfection,
59;I sing off-key, it's my own reflection.
61;[outro]
63;
